문1-1.문화예술행사관람실태직접관람횟수_총합,문3-7.문화예술행사(직접관람)_선택기준,문3-8.문화예술행사(직접관람)_관람걸림돌,문4-1.매체를이용한문화예술행사관람횟수_총합,문7-1.문화예술관련많이지출하는항목_1순위,문7-2.문화예술관련향후지출을늘리고싶은항목_1순위,문13.문화행사참여시가장큰어려움,문14.1년이내문화공간에서개최하는문화행사참여의향,문18.역사문화유적지방문경험여부,문19.1년이내역사문화유적지방문의향,문20.축제(거리축제포함)방문경험여부,문21.1년이내축제참여의향,성별,연령,학력,동거가구원수,혼인상태,가구주여부,종사상지위,가구소득,시도,장애등록여부,문12-1.문화예술활동공간이용횟수_총합,문12-4.문화예술활동문화행사참석횟수_총합,문15-1.문화관련자원봉사활동참여횟수,문18-A.역사문화유적지방문경험횟수,문20-A.축제(거리축제포함)방문경험횟수
0,1,7,3,28,17,6,1,2,3,1,6,1,3,3,2,1,1,1,5,1,1,,,,,2
16,7,2,17,17,15,9,1,1,6,1,6,2,2,3,3,1,2,5,7,1,1,16,0,,2,1
6,1,2,120,17,17,2,2,2,6,2,6,1,4,3,3,2,1,1,3,6,1,2,0,,,
2,1,2,30,17,17,2,1,2,5,1,5,1,4,4,1,1,1,1,5,1,1,2,0,,,1
8,4,2,20,17,18,2,1,1,5,1,6,1,3,4,2,2,1,1,5,1,1,8,0,,2,1
14,4,2,15,17,17,2,1,2,6,1,6,1,2,4,1,1,1,1,3,1,1,14,0,,,2
0,9,3,40,28,17,2,1,2,4,2,4,1,4,3,2,1,1,3,4,1,1,,,,,
0,5,3,18,28,17,2,1,2,4,2,5,1,5,3,3,2,1,3,6,1,1,,,,,
5,1,2,21,17,17,2,1,1,6,1,6,1,4,4,3,2,1,1,6,1,1,5,0,,2,1
0,9,6,15,28,27,6,1,2,4,2,4,2,7,2,2,2,2,5,2,1,1,,,,,
14,1,9,20,17,18,2,1,2,5,1,5,2,2,4,3,1,2,1,6,1,1,14,0,,,1
0,5,6,25,28,9,3,1,2,5,1,6,2,7,2,2,2,2,5,2,1,1,,,,,2
0,2,8,15,28,17,6,1,2,5,2,5,2,7,2,3,2,2,5,5,1,1,,,,,
10,1,1,120,17,17,1,2,1,6,1,6,2,2,4,3,1,2,1,5,6,1,,,,3,2
2,9,8,5,17,10,2,2,2,3,2,4,2,2,4,3,2,2,5,3,9,1,,,,,
5,1,1,3,17,17,1,1,2,5,1,6,2,2,3,3,1,2,5,5,2,1,10,0,,,1
3,2,2,8,17,21,8,1,1,7,1,4,1,5,4,2,2,1,1,5,15,1,3,3,,2,1
0,9,3,30,28,28,3,2,2,4,2,4,1,6,1,3,2,1,1,4,16,1,1,0,,,
0,1,3,55,28,28,3,2,2,1,2,5,1,6,3,2,2,1,5,2,16,1,1,0,,,
0,1,3,55,28,28,3,2,2,5,2,5,1,7,3,2,2,1,3,2,16,1,6,0,,,
0,1,3,50,28,18,3,2,2,2,2,7,2,6,1,1,3,1,5,1,16,1,,,,,
0,1,3,35,28,17,3,2,2,1,2,6,1,2,3,2,1,2,3,4,16,1,1,0,,,
0,1,3,,28,28,3,2,2,1,2,7,1,7,3,2,2,1,5,1,16,1,2,0,,,
0,1,3,60,28,28,3,2,2,1,2,7,1,4,1,3,2,1,5,1,16,1,3,0,,,
2,1,2,120,17,17,2,2,1,6,1,6,1,3,3,3,1,2,1,5,6,1,2,0,,1,2
0,9,3,50,28,28,3,2,2,1,2,5,2,6,1,1,3,1,5,1,16,1,2,0,,,
